territory,format,role,spend,impressions,clicks,engagements,conversions,ctr,cpl
Drop Into The Moment,Breaking Drop,Problem Framing,17000,1320000,15800,28900,90,0.0120,188.89
Drop Into The Moment,Drop-ins of the Week,Problem Framing,14000,1080000,12500,24100,80,0.0116,175.00
Drop Into The Moment,Drop the Mic in 60 Seconds,Solution Education,12000,890000,9400,18300,75,0.0106,160.00
Drop Into The Moment,Industry Drops,Solution Education,11500,850000,8200,15100,85,0.0096,135.29
Don’t Just Play — Perform,"Play Hard, Perform Hard",Problem Framing,19000,1460000,15400,26300,125,0.0105,152.00
Don’t Just Play — Perform,Star Performers,Proof & Credibility,18000,1360000,13000,20100,190,0.0096,94.74
Don’t Just Play — Perform,Play with Creative. Perform with Numbers.,Solution Education,17500,1280000,12600,21400,165,0.0098,106.06
Don’t Just Play — Perform,Performance Proof Card,Proof & Credibility,16000,1160000,9800,13700,210,0.0084,76.19
Both selected territories,CTA / Lead Gen Variant,Action / Conversion,22000,1320000,12400,18800,360,0.0094,61.11
Both selected territories,Case Study Card,Proof & Credibility,20000,1120000,9600,16800,280,0.0086,71.43
Both selected territories,Stat Animation,Proof & Credibility,17250,1000000,8200,11100,180,0.0082,95.83
